text_id	lookup_key	number	title	subtitle	sort_key	artist	min_bpm	max_bpm	level1	notes1	level2	notes2	level3	notes3	level4	notes4	level5	notes5	limited	hidden	deleted	activated	event	added_at	deleted_at
intothecave	intothecave	91	Into the Cave		into the cave	Jerico	128	128	22	139	44	198	76	519					FALSE	TRUE	FALSE	TRUE	第6回ランダムセレクト祭	2014/5/23
crossshooter	crossshooter	92	CrossShooter		crossshooter	Tatsh	164	164	35	249	60	444	85	705					FALSE	FALSE	FALSE	TRUE	Tatshフェスティバル	2014/6/10
id	id	93	I.D.		id	Tatsh feat. 彩音	153	153	29	162	46	287	72	494					FALSE	FALSE	FALSE	TRUE	Tatshフェスティバル	2014/6/10
addicted	addicted	94	Addicted		addicted	luz×アリエP	194	194	20	108	34	189	52	324					FALSE	FALSE	FALSE	TRUE	June Bride杯	2014/6/26
reanimation	reanimation	95	Reanimation		reanimation	DC feat. S!N	102.5	205	28	152	44	221	70	396					FALSE	FALSE	FALSE	TRUE	June Bride杯	2014/6/26
vespero	vespero	96	Vespero		vespero	Monotone Rhythm feat. 綾川雪弥	143	143	19	172	40	284	61	397					FALSE	FALSE	FALSE	TRUE	June Bride杯	2014/6/26
hypersphere	hypersphere	97	Hypersphere		hypersphere	Dubscribe	70	140	20	156	38	231	73	467					FALSE	TRUE	FALSE	TRUE	第7回ランダムセレクト祭	2014/6/26
summerlove	summerlove	98	サマ★ラブ		サマラブ	コツキミヤ	154	154	19	119	39	270	58	416					FALSE	FALSE	FALSE	TRUE	MIDSUMMER杯	2014/7/14
sunnyday	sunnyday	99	Sunny day		sunny day	センラ×蒼炎P	217	217	23	132	38	185	59	301					FALSE	FALSE	FALSE	TRUE	MIDSUMMER杯	2014/7/14
crisscrosser	crisscrosser	100	Crisscrosser		crisscrosser	void	170	170	37	269	54	410	86	687					FALSE	TRUE	FALSE	TRUE	第8回ランダムセレクト祭	2014/7/20
survival	survival	101	サバイバル		サバイバル	GLAY	158	158	24	172	40	308	65	486					FALSE	FALSE	FALSE	TRUE	GLAYキャンペーン リバイバル	2014/7/18
rebellion	rebellion	102	Rebellion		rebellion	NAOKI underground	150	150	49	329	63	451	91	691					FALSE	FALSE	FALSE	TRUE	NAOKIフェスティバル	2014/8/5
nextfrontiertruerise	nextfrontiertruerise	103	NEXT FRONTIER	-TRUE RISE-	next frontier true rise	NAOKI	150	150	46	400	69	574	89	834					FALSE	FALSE	FALSE	TRUE	NAOKIフェスティバル	2014/8/5
iine	iine	104	いいね!		イイネ	BABYMETAL	160	160	21	109	40	277	81	545					FALSE	FALSE	FALSE	TRUE	BABYMETAL特集	2014/8/21
headbanger	headbanger	105	ヘドバンギャー!!		ヘドバンギャー	BABYMETAL	184.5	184.5	16	89	43	233	66	430					FALSE	FALSE	FALSE	TRUE	BABYMETAL特集	2014/8/21
dazzlingseasonremix	dazzlingseasonremix	106	DAZZLING&#x2661;SEASON	(Darwin Remix)	dazzlingseason remix	jun	180	180	35	303	60	420	82	644					FALSE	TRUE	FALSE	TRUE	第9回ランダムセレクト祭	2014/8/25
amaikotoba	amaikotoba	107	甘い言葉		アマイコトバ	Kenichi Chiba feat. EVO+	125	125	15	104	37	206	60	418					FALSE	FALSE	FALSE	TRUE	SOULFUL☆NIGHT	2014/9/12
nightfeelin	nightfeelin	108	NIGHT FEELIN'		night feelin	マセラティ渚	121.7	121.7	15	103	28	154	46	235					FALSE	FALSE	FALSE	TRUE	SOULFUL☆NIGHT	2014/9/12
voiceofhouse	voiceofhouse	109	Voice Of House		voice of house	DOT96	130	130	18	139	34	237	58	308					FALSE	FALSE	FALSE	TRUE	SOULFUL☆NIGHT	2014/9/12
sapphire	sapphire	110	Sapphire		sapphire	voltex	67.5	67.5	29	138	44	252	81	502					FALSE	TRUE	FALSE	TRUE	第10回ランダムセレクト祭	2014/9/16
drivingstory	drivingstory	111	Driving story		driving story	Duca	180	180	23	99	40	194	66	409					FALSE	FALSE	FALSE	TRUE	ガールズポップ特集 第1弾	2014/10/1
kakuseiawake	kakuseiawake	112	覚醒 &infin; awake!		カクセイ awake	PwD	130	130	17	128	55	328	75	521					FALSE	FALSE	FALSE	TRUE	ガールズポップ特集 第1弾	2014/10/1
omniverse	omniverse	113	Omniverse		omniverse	Atomic	176	176	34	250	52	387	83	560					FALSE	FALSE	FALSE	TRUE	ULTIMATE BEATS 第1弾	2014/10/19
designedworld	designedworld	114	Designed World		designed world	Alinut	150	150	15	118	39	251	68	393					FALSE	FALSE	FALSE	TRUE	ULTIMATE BEATS 第1弾	2014/10/19
nuheat	nuheat	115	Nu Heat		nu heat	Paisley Parks	160	160	29	194	44	293	65	443					FALSE	FALSE	FALSE	TRUE	ULTIMATE BEATS 第1弾	2014/10/19
yukari	yukari	116	YUKARI		yukari	Ocelot	174	174	31	239	50	338	76	545					FALSE	TRUE	FALSE	TRUE	第11回ランダムセレクト祭	2014/10/24
hesperides	hesperides	117	Hesperides		hesperides	xi	200	200	36	227	61	406	92	865					FALSE	FALSE	FALSE	TRUE		2014/10/19
genjitsugenkakuspeedstar	genjitsugenkakuspeedstar	118	現実幻覚スピードスター		ゲンジツゲンカクスピードスター	yozuca*	195	195	17	98	46	318	73	522					FALSE	FALSE	FALSE	TRUE	ガールズポップ特集 第2弾	2014/11/10
overlap	overlap	119	オーバーラップ		オーバーラップ	millie loved by yksb	136	136	17	111	30	190	51	281					FALSE	FALSE	FALSE	TRUE	ガールズポップ特集 第2弾	2014/11/10
garnethowl	garnethowl	120	GARNET HOWL		garnet howl	フラット3rd	188	188	26	163	46	309	70	539					FALSE	TRUE	FALSE	TRUE	第12回ランダムセレクト祭	2014/11/16
brandnew	brandnew	121	BRAND NEW		brand new	Headphone-Tokyo** feat. カヒーナ	186	186	9	84	39	190	66	389					FALSE	FALSE	FALSE	TRUE	Headphone-Tokyo**特集	2014/12/4
iluminaregalo	iluminaregalo	122	イルミナレガロ		イルミナレガロ	Headphone-Tokyo** feat. MiLO	118	118	10	76	25	126	46	260					FALSE	FALSE	FALSE	TRUE	Headphone-Tokyo**特集	2014/12/4
breakdown2nd	breakdown2nd	123	Break down	(2nd Edition)	break down 2nd	GARNiDELiA	182	182	34	158	64	354	74	455					FALSE	TRUE	FALSE	TRUE	第13回ランダムセレクト祭	2014/12/11
zankyonoakasha	zankyonoakasha	124	残響のアカーシャ		ザンキョウノアカーシャ	Astilbe × arendsii	140	140	18	174	38	262	57	440					FALSE	FALSE	FALSE	TRUE	クリスマス杯	2014/12/30
deepoutside	deepoutside	125	Deep Outside		deep outside	Seiho	125	125	18	108	34	155	63	366					FALSE	FALSE	FALSE	TRUE	クリスマス杯	2014/12/30
akatsuki	akatsuki	126	AKATSUKI		akatsuki	NAOKI underground	140	140	26	168	58	307	84	619					FALSE	TRUE	FALSE	TRUE	第14回ランダムセレクト祭	2014/12/30
thelastmissileman	thelastmissileman	127	the Last Missile Man		the last missile man	adHoc World	182	182	16	135	38	249	59	384					FALSE	FALSE	FALSE	TRUE	NEW YEARフェスティバル	2015/1/14
frgmnts	frgmnts	128	Frgmnts		frgmnts	Nyolfen	135	135	33	203	63	363	74	435					FALSE	TRUE	FALSE	TRUE	第15回ランダムセレクト祭	2015/1/19
hopesbright	hopesbright	129	Hopes Bright		hopes bright	WHITE ASH	98	98	10	75	25	180	40	293					FALSE	FALSE	FALSE	TRUE	Next Break Artistコラボ 第3弾	2015/2/6
flowerwall	flowerwall	130	Flowerwall		flowerwall	米津玄師	90	90	7	66	20	114	36	317					FALSE	FALSE	FALSE	TRUE	Next Break Artistコラボ 第3弾	2015/2/6
intothecaveanother	intothecaveanother	131	Into the Cave	(Another Edit)	into the cave another edit	Jerico	145	163	31	161	57	321	88	682					FALSE	TRUE	FALSE	TRUE	第16回ランダムセレクト祭	2015/2/7
sonzaikyodotai	sonzaikyodotai	132	ソンザイキョウドウタイ		ソンザイキョウドウタイ	ジギル	180	180	26	154	40	264	59	371					FALSE	FALSE	FALSE	TRUE	白雪杯	2015/2/27
mosozenkai	mosozenkai	133	妄想全開		モウソウゼンカイ	志麻×ふぉP	190	190	16	119	26	148	54	430					FALSE	FALSE	FALSE	TRUE	白雪杯	2015/2/27
perfectionism	perfectionism	134	Perfectionism		perfectionism	高橋渉 feat. 2d6	188	188	39	250	64	439	78	545					FALSE	TRUE	FALSE	TRUE	第17回ランダムセレクト祭	2015/3/4
tokyo	tokyo	135	tokyo		tokyo	Headphone-Tokyo** feat. nayuta	132	132	15	134	33	352	71	508					FALSE	FALSE	FALSE	TRUE	Headphone-Tokyo**特集 第2弾	2015/3/23
reuniverse	reuniverse	136	Reuniverse		reuniverse	Headphone-Tokyo** feat. カヒーナ	86	86	14	68	23	117	41	268					FALSE	FALSE	FALSE	TRUE	Headphone-Tokyo**特集 第2弾	2015/3/23
cosmology	cosmology	137	Cosmology		cosmology	RIC	145	145	36	226	64	414	87	584					FALSE	TRUE	FALSE	TRUE	第18回ランダムセレクト祭	2015/3/28
voiceofhouseremix	voiceofhouseremix	138	VOICE OF HOUSE	(96TH RETROMAN REMIX)	voice of house remix	DOT96	130	130	14	121	38	257	67	386					FALSE	FALSE	FALSE	TRUE	SUPER REMIX特集	2015/4/16
wannabeyourspecialremix	wannabeyourspecialremix	139	Wanna Be Your Special	(Remix ver.)	wanna be your special remix	Shoichiro Hirata feat. SUIMI	137	137	26	131	41	257	69	463					FALSE	FALSE	FALSE	TRUE	SUPER REMIX特集	2015/4/16
strangediva	strangediva	140	ストレンジ・ディーヴァ		ストレンジディーウァ	麹町養蚕館	128	128	12	82	28	167	55	275					FALSE	FALSE	FALSE	TRUE	GWフェスティバル	2015/4/28
anomieremix	anomieremix	141	Anomie	(Axiom Style)	anomie remix	D-Fener	144	144	16	93	43	250	84	690					FALSE	TRUE	FALSE	TRUE	第19回ランダムセレクト祭	2015/4/28
